Date,Portfolio
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,0.19120171553675092
2020-05-12,0.19118185393957488
2020-05-13,0.19113551344007584
2020-05-14,0.19139674911198643
2020-05-15,0.19144344298833668
2020-05-18,0.19164108411233113
2020-05-19,0.19164111664112604
2020-05-20,0.19188927580222637
2020-05-21,0.1923188541924116
2020-05-22,0.19237308200978348
2020-05-26,0.19235981032612182
2020-05-27,0.19252363490635807
2020-05-28,0.19251810911846323
2020-05-29,0.19265611114078485
2020-06-01,0.19267669144774238
2020-06-02,0.19266658917326873
2020-06-03,0.19275259488225543
2020-06-04,0.19273230088145363
2020-06-05,0.1927249662982813
2020-06-08,0.19307971314145808
2020-06-09,0.19309175264619624
2020-06-10,0.19311632770343773
2020-06-11,0.19632621307075795
2020-06-12,0.1963997409632959
2020-06-15,0.1963697843206056
2020-06-16,0.19647599275657046
2020-06-17,0.1964813581519005
2020-06-18,0.1963935519939382
2020-06-19,0.1963847662765343
2020-06-22,0.19648405078691608
2020-06-23,0.19655202568984764
2020-06-24,0.1971792427687422
2020-06-25,0.1971648212495993
2020-06-26,0.19737175455459635
2020-06-29,0.19753316292662357
2020-06-30,0.1977306962257009
2020-07-01,0.19741462522690215
2020-07-02,0.19570631230260147
2020-07-06,0.19588350616001154
2020-07-07,0.19445194132469257
2020-07-08,0.19327813520473963
2020-07-09,0.19150169785164517
2020-07-10,0.1914390701394517
2020-07-13,0.19022691344803197
2020-07-14,0.19038665081960818
2020-07-15,0.19041832893777808
2020-07-16,0.18694766244302863
2020-07-17,0.18695398606586358
2020-07-20,0.18390936691415014
2020-07-21,0.16613347001022707
2020-07-22,0.16387601123668194
2020-07-23,0.14924013016920293
2020-07-24,0.14711595563522167
2020-07-27,0.13903219094531785
2020-07-28,0.13858386626980906
2020-07-29,0.138581527157796
2020-07-30,0.1384593225608476
2020-07-31,0.11764165399870945
2020-08-03,0.11755770309746348
2020-08-04,0.11108351413423759
2020-08-05,0.10927229558629409
2020-08-06,0.10852754402862486
2020-08-07,0.10503432877709185
2020-08-10,0.10312881644893347
2020-08-11,0.1090448096079962
2020-08-12,0.10877269039074927
2020-08-13,0.09646383492407994
2020-08-14,0.09625404065255724
2020-08-17,0.09633628820363294
2020-08-18,0.09429672607321525
2020-08-19,0.09703592349416446
2020-08-20,0.0951266141756784
2020-08-21,0.0942967921261926
2020-08-24,0.09425673429720714
2020-08-25,0.09425712974604714
2020-08-26,0.094530691495869
2020-08-27,0.09254999617671143
2020-08-28,0.0911132906310241
2020-08-31,0.09104884371830199
2020-09-01,0.09111853450545343
2020-09-02,0.0911184585602972
2020-09-03,0.09457173173965845
2020-09-04,0.0935904742038129
2020-09-08,0.09340799658843758
2020-09-09,0.09357076812266299
2020-09-10,0.09441545533464321
2020-09-11,0.09428302910074646
2020-09-14,0.09349360958608006
2020-09-15,0.0921525709073969
2020-09-16,0.09219114547578111
2020-09-17,0.09243300078107665
2020-09-18,0.09227031758480576
2020-09-21,0.09399610709047569
2020-09-22,0.09337242233193471
2020-09-23,0.09702256666295875
2020-09-24,0.09666226146461841
2020-09-25,0.09686976298390217
2020-09-28,0.0972867006138427
2020-09-29,0.0963525418976018
2020-09-30,0.09627067342770358
2020-10-01,0.09640177426286528
2020-10-02,0.09641007798290746
2020-10-05,0.09675367346905557
2020-10-06,0.09761271806291826
2020-10-07,0.09782310206778112
2020-10-08,0.09800483061901596
2020-10-09,0.09868113112976791
2020-10-12,0.09889133029816925
2020-10-13,0.09971391551940714
2020-10-14,0.09904765733480476
2020-10-15,0.09902758201169252
2020-10-16,0.09890377387187685
2020-10-19,0.09287879098929945
2020-10-20,0.09276856091368452
2020-10-21,0.0927440147236945
2020-10-22,0.09262615274875026
2020-10-23,0.0926118982842391
2020-10-26,0.09321450641319387
2020-10-27,0.09319689647461248
2020-10-28,0.09765010047403784
2020-10-29,0.09750465533282263
2020-10-30,0.0964325501542259
2020-11-02,0.09707638200617522
2020-11-03,0.09712811596449315
2020-11-04,0.09788259289499802
2020-11-05,0.1001936827565304
2020-11-06,0.10021492666272112
2020-11-09,0.1027419711957827
2020-11-10,0.1023737957791441
2020-11-11,0.10236606235995128
2020-11-12,0.10216178714298468
2020-11-13,0.1026084739304698
2020-11-16,0.10269945934743797
2020-11-17,0.10269718550039948
2020-11-18,0.10284650644519341
2020-11-19,0.10276496110561344
2020-11-20,0.10251001599377468
2020-11-23,0.10281092389210683
2020-11-24,0.10257328272501263
2020-11-25,0.10233068564916732
2020-11-27,0.10173967243176901
2020-11-30,0.10193926324498194
2020-12-01,0.10299866174716328
2020-12-02,0.10212971642146275
2020-12-03,0.10224679570950825
2020-12-04,0.10164906945014235
2020-12-07,0.10185792588592037
2020-12-08,0.10153175972016644
2020-12-09,0.10256924719007679
2020-12-10,0.10140197556631958
2020-12-11,0.10115184728162585
2020-12-14,0.1006327371390314
2020-12-15,0.10131588933332607
2020-12-16,0.10137380766385222
2020-12-17,0.09467178875708518
2020-12-18,0.094675234867432
2020-12-21,0.09420610591468981
2020-12-22,0.09430125394407246
2020-12-23,0.09335265317439825
2020-12-24,0.09318169424201155
