Date,Equity,Fixed Income,Commodity
2019-12-31,3230.78,22.72,142.9
2020-01-02,3257.85,22.76,143.95
2020-01-03,3234.85,22.88,145.86
2020-01-06,3246.28,22.85,147.39
2020-01-07,3237.18,22.8,147.97
2020-01-08,3253.05,22.77,146.86
2020-01-09,3274.7,22.79,146.03
2020-01-10,3265.35,22.84,146.91
2020-01-13,3288.13,22.81,145.82
2020-01-14,3283.15,22.86,145.69
2020-01-15,3289.29,22.89,146.54
2020-01-16,3316.81,22.86,146.31
2020-01-17,3329.62,22.83,146.58
2020-01-21,3320.79,22.91,146.74
2020-01-22,3321.75,22.93,146.79
2020-01-23,3325.54,22.98,147.12
2020-01-24,3295.47,23.04,147.98
2020-01-27,3243.63,23.16,148.99
2020-01-28,3276.24,23.1,147.66
2020-01-29,3273.4,23.19,148.46
2020-01-30,3283.66,23.19,148.47
2020-01-31,3225.52,23.29,149.33
2020-02-03,3248.92,23.27,148.36
2020-02-04,3297.59,23.16,146.43
2020-02-05,3334.69,23.09,146.61
2020-02-06,3345.78,23.11,147.4
2020-02-07,3327.71,23.18,147.79
2020-02-10,3352.09,23.23,148.17
2020-02-11,3357.75,23.19,147.66
2020-02-12,3379.45,23.14,147.54
2020-02-13,3373.94,23.16,148.38
2020-02-14,3380.16,23.18,149.0
2020-02-18,3370.29,23.23,150.91
2020-02-19,3386.15,23.23,151.79
2020-02-20,3373.23,23.31,152.41
2020-02-21,3337.75,23.38,154.7
2020-02-24,3225.89,23.52,156.09
2020-02-25,3128.21,23.59,153.3
2020-02-26,3116.39,23.56,153.97
2020-02-27,2978.76,23.66,154.0
2020-02-28,2954.22,23.86,148.38
2020-03-02,3090.23,23.83,149.2
2020-03-03,3003.37,24.04,153.89
2020-03-04,3130.12,23.99,154.16
2020-03-05,3023.94,24.16,157.49
2020-03-06,2972.37,24.56,157.55
2020-03-09,2746.56,24.83,157.81
2020-03-10,2882.23,24.38,154.48
2020-03-11,2741.38,24.26,153.93
2020-03-12,2480.64,24.23,147.79
2020-03-13,2711.02,24.09,143.28
2020-03-16,2386.13,24.48,141.64
2020-03-17,2529.19,23.93,143.56
2020-03-18,2398.1,23.7,140.7
2020-03-19,2409.39,23.73,138.04
2020-03-20,2304.92,24.27,140.11
2020-03-23,2237.4,24.56,146.3
2020-03-24,2447.33,24.43,153.4
2020-03-25,2475.56,24.43,151.3
2020-03-26,2630.07,24.49,153.24
2020-03-27,2541.47,24.72,152.25
2020-03-30,2626.65,24.6,152.92
2020-03-31,2584.59,24.6,148.05
